Accession,Family
MT263283.1,Nairoviridae
MT263284.1,Nairoviridae
MT263533.1,Draupnirviridae
MT263594.1,Draupnirviridae
MT263655.1,Draupnirviridae
MT269667.1,Phenuiviridae
MT269668.1,Phenuiviridae
MT269788.1,Betaflexiviridae
MT270825.1,Phenuiviridae
MT270826.1,Phenuiviridae
MT270827.1,Phenuiviridae
MT270828.1,Phenuiviridae
MT270829.1,Phenuiviridae
MT270830.1,Phenuiviridae
MT270832.1,Phenuiviridae
MT270833.1,Phenuiviridae
MT270834.1,Phenuiviridae
MT270836.1,Phenuiviridae
MT276890.1,Polyomaviridae
MT293125.1,Artiviridae
MT293410.1,Naryaviridae
MT293413.1,Naryaviridae
MT293414.1,Naryaviridae
MT293416.1,Nenyaviridae
MT293425.1,Vilyaviridae
MT293426.1,Vilyaviridae
MT293429.1,Vilyaviridae
MT293574.1,Yaraviridae
MT303062.1,Secoviridae
MT309857.1,Genomoviridae
MT310864.1,Orlajensenviridae
MT310872.1,Stackebrandtviridae
MT311645.1,Demerecviridae
MT318123.1,Anelloviridae
MT318125.1,Anelloviridae
MT319109.1,Bromoviridae
MT319110.1,Bromoviridae
MT319111.1,Bromoviridae
MT325641.1,Rhabdoviridae
MT328775.1,Nairoviridae
MT328776.1,Nairoviridae
MT328777.1,Nairoviridae
MT334602.1,Solemoviridae
MT334618.1,Kitaviridae
MT334619.1,Kitaviridae
MT334620.1,Kitaviridae
MT341473.1,Parvoviridae
MT348706.1,Secoviridae
MT348710.1,Secoviridae
MT350293.1,Autotranscriptaviridae
MT353902.1,Phenuiviridae
MT353903.1,Phenuiviridae
MT353904.1,Phenuiviridae
MT354565.1,Mymonaviridae
MT360681.1,Drexlerviridae
MT360682.2,Drexlerviridae
MT362605.1,Kitaviridae
MT367282.1,Endolinaviridae
MT374855.1,Peduoviridae
MT374858.1,Peduoviridae
MT375547.1,Secoviridae
MT375548.1,Secoviridae
MT380195.1,Demerecviridae
MT381995.1,Rhabdoviridae
MT393593.1,Parvoviridae
MT409176.1,Andersonviridae
MT418680.1,Mimiviridae
MT419366.1,Autotranscriptaviridae
MT422786.1,Ehrlichviridae
MT425185.1,Autotranscriptaviridae
MT431699.1,Autotranscriptaviridae
MT447187.1,Mymonaviridae
MT457878.1,Smacoviridae
MT457879.1,Smacoviridae
MT457880.1,Smacoviridae
MT457881.1,Smacoviridae
MT459794.1,Salasmaviridae
MT460514.1,Demerecviridae
MT460515.1,Demerecviridae
MT460516.1,Demerecviridae
MT472637.1,Kitaviridae
MT472638.1,Kitaviridae
MT473961.1,Betaflexiviridae
MT478515.1,Draupnirviridae
MT478518.1,Draupnirviridae
MT478527.1,Draupnirviridae
MT478552.1,Draupnirviridae
MT478555.1,Draupnirviridae
MT491204.1,Lindbergviridae
MT495635.1,Inoviridae
MT496969.1,Autotranscriptaviridae
MT496971.1,Autosignataviridae
MT498035.1,Stackebrandtviridae
MT498036.1,Stackebrandtviridae
MT498065.1,Orlajensenviridae
MT498813.1,Phenuiviridae
MT498815.1,Phenuiviridae
MT498816.1,Phenuiviridae
MT498817.1,Phenuiviridae
MT498818.1,Phenuiviridae
MT498824.1,Parvoviridae
MT506024.1,Mitoviridae
MT507290.1,Secoviridae
MT507291.1,Secoviridae
MT511058.1,Drexlerviridae
MT511667.1,Paramyxoviridae
MT513101.1,Potyviridae
MT514532.1,Ehrlichviridae
MT520144.1,Fusagraviridae
MT520166.1,Solemoviridae
MT521733.1,Secoviridae
MT521990.1,Orlajensenviridae
MT521998.1,Stackebrandtviridae
MT533598.1,Betaflexiviridae
MT533610.1,Potyviridae
MT536978.1,Solemoviridae
MT537977.1,Anelloviridae
MT537993.1,Anelloviridae
MT537996.1,Anelloviridae
MT537999.1,Anelloviridae
MT538011.1,Anelloviridae
MT538013.1,Anelloviridae
MT538017.1,Anelloviridae
MT538020.1,Anelloviridae
MT538033.1,Anelloviridae
MT538050.1,Anelloviridae
MT538062.1,Anelloviridae
MT538083.1,Anelloviridae
MT538084.1,Anelloviridae
MT538089.1,Anelloviridae
MT538124.1,Anelloviridae
MT538127.1,Anelloviridae
MT538131.1,Anelloviridae
MT538139.1,Anelloviridae
MT538175.1,Anelloviridae
MT542512.1,Autotranscriptaviridae
MT543041.1,Autotranscriptaviridae
MT551010.1,Botourmiaviridae
MT577844.1,Demerecviridae
MT580795.1,Parvoviridae
MT596500.1,Rountreeviridae
MT597419.1,Autotranscriptaviridae
MT610105.1,Circoviridae
MT610106.1,Circoviridae
MT625440.1,Autotranscriptaviridae
MT639640.1,Stackebrandtviridae
MT639651.1,Stackebrandtviridae
MT639653.1,Casidaviridae
MT646386.1,Mymonaviridae
MT646406.1,Mymonaviridae
MT649486.1,Genomoviridae
MT653143.1,Demerecviridae
MT653146.1,Demerecviridae
MT657341.1,Vilmaviridae
MT658802.1,Vilmaviridae
MT658803.1,Vilmaviridae
MT659125.2,Alternaviridae
MT662115.1,Peduoviridae
MT663534.1,Allomimiviridae
MT664722.1,Grimontviridae
MT664984.1,Mesyanzhinovviridae
MT670417.1,Vandenendeviridae
MT670418.1,Vandenendeviridae
MT670419.1,Vandenendeviridae
MT670420.1,Vandenendeviridae
MT670421.1,Vandenendeviridae
MT670422.1,Vandenendeviridae
MT671987.1,Mahapunaviridae
MT674683.1,Adenoviridae
MT675124.1,Casjensviridae
MT675125.1,Casjensviridae
MT676452.1,Mitoviridae
MT677933.1,Sarkviridae
MT677934.1,Sarkviridae
MT680615.1,Autosignataviridae
MT682386.1,Autonotataviridae
MT682390.1,Autonotataviridae
MT682706.1,Drexlerviridae
MT682707.1,Autotranscriptaviridae
MT682708.1,Schitoviridae
MT682712.1,Straboviridae
MT682713.1,Straboviridae
MT684598.1,Stanwilliamsviridae
MT700412.1,Ehrlichviridae
MT701590.1,Chimalliviridae
MT701591.1,Peduoviridae
MT706025.1,Mycoalphaviridae
MT708549.1,Lindbergviridae
MT711370.1,Fervensviridae
MT711889.1,Autotranscriptaviridae
MT711976.1,Stanwilliamsviridae
MT723934.1,Stackebrandtviridae
MT723937.1,Stackebrandtviridae
MT723941.1,Stackebrandtviridae
MT732432.1,Pervagoviridae
MT732443.1,Assiduviridae
MT732445.1,Obscuriviridae
MT732450.1,Molycolviridae
MT732451.1,Molycolviridae
MT732457.1,Aggregaviridae
MT732458.1,Forsetiviridae
MT732463.1,Forsetiviridae
MT732473.1,Helgolandviridae
MT732474.1,Pachyviridae
MT732687.1,Rhabdoviridae
MT733014.1,Parvoviridae
MT733015.1,Parvoviridae
MT733016.1,Parvoviridae
MT733017.1,Parvoviridae
MT733018.1,Parvoviridae
MT733019.1,Parvoviridae
MT733023.1,Parvoviridae
MT733025.1,Parvoviridae
MT733028.1,Parvoviridae
MT733038.1,Parvoviridae
MT733039.1,Parvoviridae
MT733040.1,Parvoviridae
MT733041.1,Parvoviridae
MT733047.1,Parvoviridae
MT733049.1,Parvoviridae
MT734804.1,Parvoviridae
MT734805.1,Parvoviridae
MT734806.1,Parvoviridae
MT734807.1,Parvoviridae
MT734808.1,Parvoviridae
MT734813.1,Draupnirviridae
MT734816.1,Draupnirviridae
MT740244.1,Grimontviridae
MT740291.1,Sarkviridae
MT740307.1,Vandenendeviridae
MT740728.1,Autonotataviridae
MT740748.1,Autotranscriptaviridae
MT757161.1,Solemoviridae
MT757399.1,Rountreeviridae
MT757670.1,Secoviridae
MT758688.1,Vilmaviridae
MT766309.1,Circoviridae
MT766312.1,Circoviridae
MT770849.1,Parvoviridae
MT771343.1,Stackebrandtviridae
MT774255.1,Orthomyxoviridae
MT774257.1,Orthomyxoviridae
MT774375.1,Suoliviridae
MT774376.1,Suoliviridae
MT774377.1,Intestiviridae
MT774378.1,Steigviridae
MT774379.1,Suoliviridae
MT774380.1,Suoliviridae
MT774381.1,Intestiviridae
MT774382.1,Suoliviridae
MT774383.1,Intestiviridae
MT774384.1,Intestiviridae
MT774385.1,Steigviridae
MT774386.1,Intestiviridae
MT774388.1,Steigviridae
MT774389.1,Steigviridae
MT774391.1,Steigviridae
MT774392.1,Steigviridae
MT774395.1,Suoliviridae
MT774396.1,Suoliviridae
MT774398.1,Suoliviridae
MT774400.1,Suoliviridae
MT774401.1,Suoliviridae
MT774402.1,Suoliviridae
MT774403.1,Suoliviridae
MT774404.1,Suoliviridae
MT774405.1,Suoliviridae
MT774406.1,Suoliviridae
MT774407.1,Suoliviridae
MT774409.1,Suoliviridae
MT774410.1,Suoliviridae
MT774411.1,Suoliviridae
MT776811.1,Berryhillviridae
MT777452.1,Salasmaviridae
MT778837.1,Pootjesviridae
MT778839.1,Pootjesviridae
MT790493.1,Potyviridae
MT813140.1,Autotranscriptaviridae
MT813141.1,Autotranscriptaviridae
MT813142.1,Autotranscriptaviridae
MT815972.1,Parvoviridae
MT815980.1,Draupnirviridae
MT815981.1,Draupnirviridae
MT822288.1,Autotranscriptaviridae
MT823459.1,Paramyxoviridae
MT823463.1,Paramyxoviridae
MT833282.1,Andersonviridae
MT833283.1,Demerecviridae
MT843274.1,Demerecviridae
MT844067.1,Baculoviridae
MT856905.1,Herelleviridae
MT860232.1,Nyamiviridae
MT860240.1,Phenuiviridae
MT860256.1,Phenuiviridae
MT862163.1,Orthoherpesviridae
MT862763.1,Autotranscriptaviridae
MT863715.1,Connertonviridae
MT863729.1,Connertonviridae
MT875151.1,Rhabdoviridae
MT876189.1,Megatotiviridae
MT876190.1,Fusagraviridae
MT876192.1,Yadokariviridae
MT879190.1,Fimoviridae
MT887289.1,Andersonviridae
MT889375.1,Casidaviridae
MT889376.1,Casidaviridae
MT894005.1,Drexlerviridae
MT897906.1,Casidaviridae
MT900475.1,Orthoherpesviridae
MT901800.1,Inoviridae
MT907511.1,Roniviridae
MT909815.1,Herelleviridae
MT922050.1,Secoviridae
MT922051.1,Secoviridae
MT932329.1,Connertonviridae
MT941682.1,Autosignataviridae
MT952005.1,Casjensviridae
MT966040.1,Solemoviridae
MT966041.1,Solemoviridae
MT966872.1,Autotranscriptaviridae
MT975991.1,Inoviridae
MT995746.1,Botourmiaviridae
MT997159.1,Tobaniviridae
MT997160.1,Tobaniviridae
MW006478.1,Demerecviridae
MW006479.1,Demerecviridae
MW006481.1,Demerecviridae
MW012634.1,Salasmaviridae
MW014292.1,Rhabdoviridae
MW015081.1,Kyanoviridae
MW017456.1,Botourmiaviridae
MW017457.1,Botourmiaviridae
MW018138.1,Mamonoviridae
MW021764.1,Drexlerviridae
MW025466.1,Orthototiviridae
MW039254.1,Aliusviridae
MW039256.1,Aliusviridae
MW039257.1,Chuviridae
MW039259.1,Nyamiviridae
MW039260.1,Rhabdoviridae
MW039261.1,Crepuscuviridae
MW039262.1,Phasmaviridae
MW042787.1,Autotranscriptaviridae
MW042790.1,Autotranscriptaviridae
MW042791.1,Autotranscriptaviridae
MW042792.1,Autotranscriptaviridae
MW042800.1,Autotranscriptaviridae
MW042802.1,Drexlerviridae
MW042804.1,Autotranscriptaviridae
MW042806.1,Autotranscriptaviridae
MW042807.1,Autotranscriptaviridae
MW042808.1,Autotranscriptaviridae
MW046350.1,Oomyviridae
MW046411.1,Oomyviridae
MW046412.1,Oomyviridae
MW046452.1,Oomyviridae
MW046453.1,Oomyviridae
MW046457.1,Oomyviridae
MW046458.1,Oomyviridae
MW046460.1,Parvoviridae
MW046474.1,Oomyviridae
MW046476.1,Oomyviridae
MW046477.1,Oomyviridae
MW046478.1,Oomyviridae
MW046479.1,Oomyviridae
MW046481.1,Oomyviridae
MW046538.1,Oomyviridae
MW046577.1,Parvoviridae
MW052080.1,Lispiviridae
MW055910.1,Casidaviridae
MW057854.1,Autotranscriptaviridae
MW057857.1,Demerecviridae
MW057933.1,Connertonviridae
MW072790.1,Peduoviridae
MW074124.1,Connertonviridae
MW074125.1,Connertonviridae
MW074885.1,Autotranscriptaviridae
MW082583.1,Sarkviridae
MW091472.1,Arenaviridae
MW093492.1,Filoviridae
MW117965.1,Kyanoviridae
MW117966.1,Kyanoviridae
MW145136.1,Autonotataviridae
MW145139.1,Casjensviridae
MW147277.1,Xinmoviridae
MW147367.1,Kyanoviridae
MW147598.1,Chaseviridae
MW147599.1,Chaseviridae
MW147601.1,Chaseviridae
MW149273.1,Demerecviridae
MW149275.1,Demerecviridae
MW165064.1,Potyviridae
MW174763.1,Orthototiviridae
MW175491.1,Vandenendeviridae
MW175880.1,Pseudototiviridae
MW176107.1,Betaflexiviridae
MW183070.1,Smacoviridae
MW183072.1,Smacoviridae
MW183073.1,Smacoviridae
MW201959.1,Sarkviridae
MW202411.1,Kanorauviridae
MW202436.1,Kanorauviridae
MW202443.1,Kanorauviridae
MW202452.1,Geplanaviridae
MW202570.1,Gandrviridae
MW202578.1,Kanorauviridae
MW202635.1,Ouroboviridae
MW202638.1,Kanorauviridae
MW202677.1,Draupnirviridae
MW202684.1,Ouroboviridae
MW202688.1,Ouroboviridae
MW202695.1,Ouroboviridae
MW202708.1,Geplanaviridae
MW202729.1,Gandrviridae
MW202764.1,Draupnirviridae
MW202799.1,Ouroboviridae
MW202813.1,Kanorauviridae
MW202822.1,Gandrviridae
MW202831.1,Kanorauviridae
MW202840.1,Geplanaviridae
MW202851.1,Gandrviridae
MW202873.1,Kanorauviridae
MW206381.1,Demerecviridae
MW208811.1,Rhabdoviridae
MW227222.1,Spiciviridae
MW227223.1,Spiciviridae
MW249058.1,Orthototiviridae
MW251502.1,Solemoviridae
MW256666.1,Lispiviridae
MW256667.1,Lispiviridae
MW258709.1,Autotranscriptaviridae
MW258947.1,Fusagraviridae
MW269554.1,Casjensviridae
MW274737.1,Phasmaviridae
MW274740.1,Phasmaviridae
MW274741.1,Phasmaviridae
MW274743.1,Phasmaviridae
MW281483.1,Iflaviridae
MW288166.1,Lispiviridae
MW288170.1,Lispiviridae
MW288203.1,Lispiviridae
MW288216.1,Lispiviridae
MW288226.1,Xinmoviridae
MW289236.1,Secoviridae
MW289237.1,Secoviridae
MW291695.1,Chuviridae
MW291945.1,Phenuiviridae
MW296865.1,Andersonviridae
MW296877.1,Autotranscriptaviridae
MW306771.1,Parvoviridae
MW306775.1,Parvoviridae
MW311372.1,Andersonviridae
MW314718.1,Rhabdoviridae
MW314849.1,Stackebrandtviridae
MW315101.1,Nairoviridae
MW315107.1,Nairoviridae
MW323519.1,Betaflexiviridae
MW344054.1,Demerecviridae
MW345254.1,Autotranscriptaviridae
MW346688.1,Geplanaviridae
MW347479.1,Kanorauviridae
MW347481.1,Kanorauviridae
MW348917.1,Salasmaviridae
MW355461.1,Sarkviridae
MW355465.1,Sarkviridae
MW355479.1,Casjensviridae
MW358928.1,Autotranscriptaviridae
MW363799.1,Rountreeviridae
MW365733.1,Connertonviridae
MW367418.1,Autotranscriptaviridae
MW368831.1,Phenuiviridae
MW368832.1,Phenuiviridae
MW380865.1,Adenoviridae
MW380983.1,Chaseviridae
MW391928.1,Nairoviridae
MW391929.1,Nairoviridae
MW394388.1,Schitoviridae
MW394391.1,Chimalliviridae
MW394467.1,Ehrlichviridae
MW411578.1,Demerecviridae
MW415980.1,Peribunyaviridae
MW415981.1,Peribunyaviridae
MW415982.1,Peribunyaviridae
MW417503.1,Drexlerviridae
MW419775.2,Salasmaviridae
MW423797.1,Andersonviridae
MW423801.1,Mymonaviridae
MW423802.1,Botourmiaviridae
MW423803.1,Botourmiaviridae
MW434619.1,Peribunyaviridae
MW434620.1,Peribunyaviridae
MW434660.1,Phasmaviridae
MW434675.1,Phasmaviridae
MW434703.1,Phasmaviridae
MW434768.1,Rhabdoviridae
MW434775.1,Rhabdoviridae
MW435855.1,Vilmaviridae
MW460246.1,Lindbergviridae
MW471133.1,Cystoviridae
MW480851.1,Rhabdoviridae
MW481326.1,Andersonviridae
MW491753.2,Rhabdoviridae
MW491754.1,Rhabdoviridae
MW491755.1,Rhabdoviridae
MW491756.1,Rhabdoviridae
MW491757.1,Rhabdoviridae
MW491758.2,Rhabdoviridae
MW491759.1,Rhabdoviridae
MW491760.2,Rhabdoviridae
MW495044.2,Schitoviridae
MW503935.1,Rhabdoviridae
MW507125.1,Stackebrandtviridae
MW526258.1,Lindbergviridae
MW544066.1,Schitoviridae
MW557336.1,Rhabdoviridae
MW557651.1,Paramyxoviridae
MW557853.1,Pleolipoviridae
MW561977.1,Tobaniviridae
MW562321.1,Anicreviridae
MW562325.1,Ouroboviridae
MW567727.1,Demerecviridae
MW579552.1,Solemoviridae
MW579555.1,Solemoviridae
MW579602.1,Paramyxoviridae
MW579753.1,Bromoviridae
MW579754.1,Bromoviridae
MW579755.1,Bromoviridae
MW582785.1,Secoviridae
MW588065.1,Parvoviridae
MW588078.1,Ouroboviridae
MW588080.1,Draupnirviridae
MW588082.1,Ouroboviridae
MW588087.1,Ouroboviridae
MW588088.1,Ouroboviridae
MW598258.1,Drexlerviridae
MW598459.1,Straboviridae
MW601217.1,Hodgkinviridae
MW601223.1,Berryhillviridae
MW601953.1,Pecoviridae
MW618650.1,Parnassusviridae
MW620877.1,Endolinaviridae
MW623430.1,Rountreeviridae
MW630115.1,Schitoviridae
MW633168.1,Herelleviridae
MW645030.1,Chuviridae
MW645368.1,Baculoviridae
MW648446.1,Fiersviridae
MW648481.1,Mymonaviridae
MW655991.1,Drexlerviridae
MW656214.1,Caulimoviridae
MW671054.1,Autotranscriptaviridae
MW672037.1,Drexlerviridae
MW678790.1,Phenuiviridae
MW678791.1,Phenuiviridae
MW678792.1,Phenuiviridae
MW678879.1,Naryaviridae
MW678915.1,Geplanaviridae
MW678986.1,Naryaviridae
MW678988.1,Draupnirviridae
MW678989.1,Naryaviridae
MW678993.1,Kanorauviridae
MW678995.1,Kanorauviridae
MW678996.1,Smacoviridae
MW678999.1,Kanorauviridae
MW679000.1,Smacoviridae
MW685514.1,Peribunyaviridae
MW685515.1,Peribunyaviridae
MW686208.1,Circoviridae
MW697472.1,Draupnirviridae
MW697481.1,Ouroboviridae
MW697497.1,Kanorauviridae
MW697509.1,Kanorauviridae
MW697516.1,Kanorauviridae
MW697518.1,Kanorauviridae
MW697525.1,Kanorauviridae
MW697535.1,Geplanaviridae
MW697536.1,Geplanaviridae
MW697550.1,Kanorauviridae
MW697552.1,Kanorauviridae
MW697555.1,Kanorauviridae
MW699041.1,Inseviridae
MW713578.1,Demerecviridae
MW721934.1,Rhabdoviridae
MW722081.1,Drexlerviridae
MW731536.1,Rhabdoviridae
MW741894.1,Phenuiviridae
MW741895.1,Phenuiviridae
MW748991.1,Autotranscriptaviridae
MW749004.1,Andersonviridae
MW749010.1,Andersonviridae
MW752165.1,Mymonaviridae
MW775011.1,Filoviridae
MW798173.1,Rhabdoviridae
MW811138.2,Pistolviridae
MW814911.1,Parvoviridae
MW815121.1,Guelinviridae
MW826429.1,Blumeviridae
MW826497.1,Lispiviridae
MW826525.1,Rhabdoviridae
MW831865.1,Autonotataviridae
MW842780.1,Phenuiviridae
MW842781.1,Phenuiviridae
MW862981.1,Casidaviridae
MW862982.1,Berryhillviridae
MW864073.1,Lispiviridae
MW864602.1,Lispiviridae
MW864603.1,Lispiviridae
MW864604.1,Rhabdoviridae
MW876471.1,Autotranscriptaviridae
MW881235.1,Circoviridae
MW882933.1,Autonotataviridae
MW883060.1,Autotranscriptaviridae
MW888422.1,Bromoviridae
MW888424.1,Bromoviridae
MW890015.1,Rhabdoviridae
MW896845.1,Arenaviridae
MW896846.1,Arenaviridae
MW897022.1,Mymonaviridae
MW897033.1,Rhabdoviridae
MW897039.2,Rhabdoviridae
MW897041.1,Mymonaviridae
MW915584.1,Parvoviridae
MW922438.1,Rhabdoviridae
MW922439.1,Rhabdoviridae
MW960036.1,Schitoviridae
MW960043.1,Autonotataviridae
MW965453.2,Autonotataviridae
MW972223.1,Potyviridae
MW980066.1,Schitoviridae
MW980071.1,Schitoviridae
MZ004649.1,Sarkviridae
MZ005682.1,Casidaviridae
MZ028627.1,Kruegerviridae
MZ065536.1,Arenaviridae
MZ065537.1,Arenaviridae
MZ065541.1,Arenaviridae
MZ089730.1,Lindbergviridae
MZ089736.1,Lindbergviridae
MZ089978.1,Tectiviridae
MZ089979.1,Tectiviridae
MZ100069.1,Parvoviridae
MZ130474.1,Intestiviridae
MZ130475.1,Suoliviridae
MZ130476.1,Intestiviridae
MZ130477.1,Suoliviridae
MZ130478.1,Steigviridae
MZ130479.1,Intestiviridae
MZ130481.1,Intestiviridae
MZ130483.1,Steigviridae
MZ130485.1,Steigviridae
MZ130486.1,Intestiviridae
MZ130487.1,Crevaviridae
MZ130488.1,Intestiviridae
MZ130489.1,Crevaviridae
MZ130490.1,Crevaviridae
MZ130491.1,Suoliviridae
MZ130493.1,Suoliviridae
MZ130494.1,Suoliviridae
MZ130495.1,Suoliviridae
MZ130496.1,Suoliviridae
MZ130497.1,Suoliviridae
MZ130498.1,Suoliviridae
MZ130499.1,Suoliviridae
MZ130500.1,Suoliviridae
MZ150758.1,Andersonviridae
MZ152915.1,Rountreeviridae
MZ170697.1,Bromoviridae
MZ171369.1,Pungoviridae
MZ172460.1,Drexlerviridae
MZ189739.1,Betaflexiviridae
MZ202269.1,Phasmaviridae
MZ202270.1,Phasmaviridae
MZ202272.1,Phasmaviridae
MZ202273.1,Phasmaviridae
MZ209613.1,Lispiviridae
MZ209652.1,Lispiviridae
MZ209654.1,Lispiviridae
MZ209657.1,Rhabdoviridae
MZ209673.1,Xinmoviridae
MZ209674.1,Lispiviridae
MZ209737.1,Rhabdoviridae
MZ209771.1,Lispiviridae
MZ209782.1,Lispiviridae
MZ209891.1,Fiersviridae
MZ209903.1,Nyamiviridae
MZ209914.1,Xinmoviridae
MZ209930.1,Duinviridae
MZ209931.1,Duinviridae
MZ209987.1,Phasmaviridae
MZ210001.1,Duinviridae
MZ210007.1,Fiersviridae
MZ210010.1,Phasmaviridae
MZ210011.1,Phasmaviridae
MZ210012.1,Phasmaviridae
MZ210020.1,Fiersviridae
MZ210022.1,Lispiviridae
MZ210030.1,Xinmoviridae
MZ210031.1,Xinmoviridae
MZ220766.1,Autotranscriptaviridae
MZ221764.1,Drexlerviridae
MZ223858.1,Autotranscriptaviridae
MZ234011.1,Autotranscriptaviridae
MZ234012.1,Autosignataviridae
MZ234017.1,Mktvariviridae
MZ234019.1,Autosignataviridae
MZ234021.1,Autotranscriptaviridae
MZ234028.1,Mktvariviridae
MZ234048.1,Sarkviridae
MZ234049.1,Autosignataviridae
MZ274225.1,Sarkviridae
MZ311577.1,Nudiviridae
MZ312420.1,Paramyxoviridae
MZ312422.1,Paramyxoviridae
MZ312424.1,Paramyxoviridae
MZ312426.1,Paramyxoviridae
MZ325520.1,Secoviridae
MZ325762.1,Secoviridae
MZ326854.1,Autonotataviridae
MZ326856.1,Schitoviridae
MZ326857.1,Schitoviridae
MZ326858.1,Autonotataviridae
MZ326861.1,Schitoviridae
MZ326863.1,Autonotataviridae
MZ327261.1,Andersonviridae
MZ327262.1,Andersonviridae
MZ328277.1,Paramyxoviridae
MZ328278.1,Paramyxoviridae
MZ328279.1,Paramyxoviridae
MZ328280.1,Paramyxoviridae
MZ328283.1,Paramyxoviridae
MZ328284.1,Paramyxoviridae
MZ328285.1,Paramyxoviridae
MZ328287.1,Paramyxoviridae
MZ328288.1,Paramyxoviridae
MZ328290.1,Paramyxoviridae
MZ328291.1,Rhabdoviridae
MZ328293.1,Rhabdoviridae
MZ334501.1,Hafunaviridae
MZ334513.1,Hafunaviridae
MZ334521.1,Hafunaviridae
MZ334522.1,Hafunaviridae
MZ334525.1,Soleiviridae
MZ334526.1,Haloferuviridae
MZ334527.1,Pyrstoviridae
MZ334528.1,Suolaviridae
MZ336020.1,Chaseviridae
MZ343361.1,Hantaviridae
MZ343362.1,Hantaviridae
MZ348421.1,Schitoviridae
MZ348422.1,Chimalliviridae
MZ348423.1,Straboviridae
MZ350964.1,Circoviridae
MZ350965.1,Circoviridae
MZ350966.1,Circoviridae
MZ350967.1,Circoviridae
MZ350968.1,Circoviridae
MZ350969.1,Circoviridae
MZ350973.1,Circoviridae
MZ357124.1,Parvoviridae
MZ357148.1,Anelloviridae
MZ357157.1,Anelloviridae
MZ357183.1,Secoviridae
MZ358387.1,Schitoviridae
MZ359091.1,Rountreeviridae
MZ359670.1,Autotranscriptaviridae
MZ361924.1,Solemoviridae
MZ382570.1,Circoviridae
MZ382572.1,Circoviridae
MZ382573.1,Circoviridae
MZ389235.1,Potyviridae
MZ391827.1,Fimoviridae
MZ393519.1,Hepadnaviridae
MZ398242.1,Drexlerviridae
MZ398243.1,Mktvariviridae
MZ398244.1,Autosignataviridae
MZ398246.1,Demerecviridae
MZ398247.1,Autotranscriptaviridae
MZ401005.1,Guelinviridae
MZ401008.1,Guelinviridae
MZ420230.2,Peduoviridae
MZ424865.1,Autotranscriptaviridae
MZ428221.1,Drexlerviridae
MZ428222.1,Drexlerviridae
MZ428224.1,Drexlerviridae
MZ428225.1,Drexlerviridae
MZ428226.1,Drexlerviridae
MZ428227.1,Drexlerviridae
MZ428228.1,Drexlerviridae
MZ428229.1,Autotranscriptaviridae
MZ447858.1,Schitoviridae
MZ484467.1,Artoviridae
MZ501051.1,Drexlerviridae
MZ501053.1,Drexlerviridae
MZ501055.1,Autotranscriptaviridae
MZ501058.1,Demerecviridae
MZ501059.1,Drexlerviridae
MZ501064.1,Autotranscriptaviridae
MZ501072.1,Demerecviridae
MZ501074.1,Demerecviridae
MZ501075.1,Demerecviridae
MZ501076.1,Demerecviridae
MZ501077.1,Drexlerviridae
MZ501078.1,Autotranscriptaviridae
MZ501079.1,Drexlerviridae
MZ501080.1,Drexlerviridae
MZ501081.1,Autotranscriptaviridae
MZ501085.1,Drexlerviridae
MZ501086.1,Andersonviridae
MZ501087.1,Drexlerviridae
MZ501092.1,Drexlerviridae
MZ501099.1,Drexlerviridae
MZ501103.1,Demerecviridae
MZ501105.1,Demerecviridae
MZ501108.1,Demerecviridae
MZ501109.1,Demerecviridae
MZ501267.1,Chimalliviridae
MZ501272.1,Autotranscriptaviridae
MZ502383.1,Botourmiaviridae
MZ507556.1,Adenoviridae
MZ508290.1,Cruliviridae
MZ508291.1,Cruliviridae
MZ520833.1,Peduoviridae
MZ556147.1,Geplanaviridae
MZ556154.1,Mahapunaviridae
MZ556184.1,Mahapunaviridae
MZ556194.1,Mahapunaviridae
MZ556204.1,Geplanaviridae
MZ558516.1,Cystoviridae
MZ562791.1,Adenoviridae
MZ570151.1,Demerecviridae
MZ571143.1,Solemoviridae
MZ571828.1,Demerecviridae
MZ571830.1,Demerecviridae
MZ571831.1,Drexlerviridae
MZ571832.1,Autotranscriptaviridae
MZ571833.1,Drexlerviridae
MZ571834.1,Drexlerviridae
MZ574407.1,Paramyxoviridae
MZ574409.1,Paramyxoviridae
MZ598515.1,Drexlerviridae
MZ599588.1,Mymonaviridae
MZ604582.1,Circoviridae
MZ604590.1,Circoviridae
MZ605293.1,Vandenendeviridae
MZ616364.1,Demerecviridae
MZ622179.1,Hodgkinviridae
MZ634344.1,Demerecviridae
MZ634346.1,Drexlerviridae
MZ634348.1,Drexlerviridae
MZ634351.1,Drexlerviridae
MZ648035.1,Hodgkinviridae
MZ648214.1,Mktvariviridae
MZ648215.1,Autotranscriptaviridae
MZ664274.1,Flaviviridae
MZ666388.1,Polyomaviridae
MZ667220.1,Parvoviridae
MZ679463.1,Steitzviridae
MZ679465.1,Steitzviridae
MZ679468.1,Steitzviridae
MZ679469.1,Steitzviridae
MZ679471.1,Steitzviridae
MZ679472.1,Steitzviridae
MZ679475.1,Steitzviridae
MZ679477.1,Steitzviridae
MZ679478.1,Steitzviridae
MZ679482.1,Atkinsviridae
MZ679485.1,Steitzviridae
MZ679486.1,Fiersviridae
MZ679489.1,Steitzviridae
MZ679490.1,Steitzviridae
MZ679491.1,Steitzviridae
